Wavenumber,BC,HC,WAS,R1,R2,R3
399.681300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
400.163500,-0.006912,-0.007496,0.009809,0.011539,0.010767,0.014961
400.645600,0.004018,0.004201,0.016567,0.018044,0.017316,0.018642
401.127700,0.011340,0.011951,0.017466,0.018735,0.018027,0.018887
401.609800,0.009111,0.009553,0.019932,0.020981,0.020313,0.020141
402.091900,0.014053,0.014787,0.020555,0.021483,0.020819,0.020361
402.574100,0.012258,0.012855,0.022149,0.022903,0.022271,0.021150
403.056200,0.015984,0.016767,0.022622,0.023264,0.022644,0.021306
403.538300,0.014466,0.015101,0.023795,0.024269,0.023685,0.021858
404.020400,0.017498,0.018238,0.024185,0.024544,0.023975,0.021984
404.502600,0.016289,0.016891,0.025161,0.025363,0.024826,0.022445
404.984700,0.018981,0.019660,0.025540,0.025639,0.025116,0.022589
405.466800,0.018037,0.018617,0.026387,0.026355,0.025860,0.022990
405.948900,0.020456,0.021126,0.026683,0.026581,0.026101,0.023092
406.431100,0.019603,0.020219,0.027316,0.027124,0.026674,0.023368
406.913200,0.021706,0.022433,0.027449,0.027220,0.026787,0.023378
407.395300,0.020896,0.021598,0.027910,0.027613,0.027210,0.023566
407.877400,0.022804,0.023625,0.028016,0.027681,0.027293,0.023583
408.359600,0.022147,0.022949,0.028516,0.028094,0.027731,0.023821
408.841700,0.023998,0.024908,0.028771,0.028276,0.027925,0.023950
409.323800,0.023474,0.024354,0.029397,0.028779,0.028449,0.024281
409.805900,0.025193,0.026153,0.029754,0.029037,0.028717,0.024481
410.288100,0.024635,0.025547,0.030368,0.029530,0.029230,0.024816
410.770200,0.026120,0.027082,0.030657,0.029751,0.029460,0.024993
411.252300,0.025527,0.026420,0.031144,0.030174,0.029904,0.025282
411.734400,0.026916,0.027820,0.031341,0.030367,0.030111,0.025438
412.216600,0.026466,0.027267,0.031759,0.030779,0.030551,0.025717
412.698700,0.027924,0.028681,0.031935,0.030992,0.030786,0.025875
413.180800,0.027634,0.028251,0.032318,0.031387,0.031213,0.026123
413.662900,0.029066,0.029607,0.032442,0.031547,0.031389,0.026218
414.145100,0.028741,0.029159,0.032722,0.031827,0.031677,0.026360
414.627200,0.029981,0.030373,0.032748,0.031866,0.031697,0.026353
415.109300,0.029559,0.029929,0.032957,0.032047,0.031845,0.026424
415.591400,0.030681,0.031143,0.032999,0.032069,0.031812,0.026418
416.073600,0.030321,0.030872,0.033297,0.032303,0.031991,0.026549
